profile,metric,playwright_n,cypress_n,mann_whitney_u,cliffs_delta,welch_t,welch_df,cohens_d
baseline,duration_sec,100,100,0.0,-1.0,-35.1841,100.7116,-4.9758
baseline,avg_cpu_percent,100,100,100.0,-0.98,-30.4388,155.9784,-4.3047
baseline,avg_system_cpu_percent,100,100,4554.0,-0.0892,0.2328,139.4277,0.0329
baseline,avg_memory_mb,100,100,0.0,-1.0,-197.487,127.0057,-27.9289
baseline,peak_memory_mb,100,100,0.0,-1.0,-326.3103,146.3691,-46.1472
baseline,cpu_time_sec,100,100,0.0,-1.0,-200.9233,141.2996,-28.4148
ui-heavy,duration_sec,100,100,0.0,-1.0,-488.2467,197.3907,-69.0485
ui-heavy,avg_cpu_percent,100,100,0.0,-1.0,-46.456,147.5128,-6.5699
ui-heavy,avg_system_cpu_percent,100,100,4394.0,-0.1212,0.6119,116.0917,0.0865
ui-heavy,avg_memory_mb,100,100,0.0,-1.0,-540.0594,153.3856,-76.3759
ui-heavy,peak_memory_mb,100,100,0.0,-1.0,-297.6416,146.8614,-42.0929
ui-heavy,cpu_time_sec,100,100,0.0,-1.0,-321.1217,146.228,-45.4135
cpu-heavy,duration_sec,100,100,0.0,-1.0,-571.5275,195.7102,-80.8262
cpu-heavy,avg_cpu_percent,100,100,0.0,-1.0,-49.7756,156.8087,-7.0393
cpu-heavy,avg_system_cpu_percent,100,100,2135.5,-0.5729,-6.2778,123.7413,-0.8878
cpu-heavy,avg_memory_mb,100,100,0.0,-1.0,-521.2417,144.9551,-73.7147
cpu-heavy,peak_memory_mb,100,100,0.0,-1.0,-356.2426,187.3988,-50.3803
cpu-heavy,cpu_time_sec,100,100,0.0,-1.0,-313.5617,140.7575,-44.3443
ram-heavy,duration_sec,100,100,0.0,-1.0,-494.735,180.1824,-69.9661
ram-heavy,avg_cpu_percent,100,100,0.0,-1.0,-48.1919,188.5043,-6.8154
ram-heavy,avg_system_cpu_percent,100,100,3090.0,-0.382,-4.2237,122.8948,-0.5973
ram-heavy,avg_memory_mb,100,100,0.0,-1.0,-615.5941,178.2544,-87.0582
ram-heavy,peak_memory_mb,100,100,0.0,-1.0,-275.329,170.9615,-38.9374
ram-heavy,cpu_time_sec,100,100,0.0,-1.0,-244.5419,116.8922,-34.5835
