tool,profile,metric,mean,median,std,min,max
playwright,baseline,duration_sec,4.0135,4.0068,0.259,3.5763,4.9315
playwright,baseline,avg_cpu_percent,107.7352,108.4559,5.8061,94.184,120.2257
playwright,baseline,avg_system_cpu_percent,39.893,38.6625,8.0306,28.1294,67.4273
playwright,baseline,avg_memory_mb,373.7757,373.7586,10.4979,333.9705,397.5598
playwright,baseline,peak_memory_mb,739.8229,739.4707,16.2462,707.8516,767.6953
playwright,baseline,cpu_time_sec,3.8709,3.8594,0.3065,3.2031,4.8125
cypress,baseline,duration_sec,13.8553,13.5438,2.7852,13.106,41.227
cypress,baseline,avg_cpu_percent,143.7743,144.8639,10.3185,48.2039,151.9657
cypress,baseline,avg_system_cpu_percent,39.687,38.8079,3.7105,32.5747,52.775
cypress,baseline,avg_memory_mb,957.4314,959.9108,27.6268,690.1639,973.2175
cypress,baseline,peak_memory_mb,1333.6548,1332.1758,8.2002,1319.0586,1363.0664
cypress,baseline,cpu_time_sec,18.257,18.2031,0.6471,17.0312,20.125
playwright,ui-heavy,duration_sec,3.4292,3.3757,0.1546,3.1651,4.0717
playwright,ui-heavy,avg_cpu_percent,111.3782,112.0606,6.4513,97.3958,127.6042
playwright,ui-heavy,avg_system_cpu_percent,37.691,36.2233,5.9076,29.04,60.2444
playwright,ui-heavy,avg_memory_mb,316.3226,317.9009,10.94,290.3578,336.452
playwright,ui-heavy,peak_memory_mb,706.2265,700.0996,19.0629,680.1797,734.9336
playwright,ui-heavy,cpu_time_sec,3.3911,3.4062,0.2251,2.9219,4.0625
cypress,ui-heavy,duration_sec,14.4136,14.3965,0.1634,14.1436,15.049
cypress,ui-heavy,avg_cpu_percent,145.0439,145.3707,3.301,137.9431,151.7024
cypress,ui-heavy,avg_system_cpu_percent,37.3141,37.0312,1.7422,32.8788,43.3159
cypress,ui-heavy,avg_memory_mb,989.782,989.1189,5.9849,975.1187,1009.0072
cypress,ui-heavy,peak_memory_mb,1342.5612,1340.5039,9.6788,1324.4023,1375.2734
cypress,ui-heavy,cpu_time_sec,19.4522,19.4062,0.4467,18.4844,20.5469
playwright,cpu-heavy,duration_sec,3.3655,3.3875,0.1259,3.1557,3.8711
playwright,cpu-heavy,avg_cpu_percent,109.7913,109.1309,6.2605,96.3542,125.558
playwright,cpu-heavy,avg_system_cpu_percent,34.7155,34.11,4.6222,26.1357,50.0294
playwright,cpu-heavy,avg_memory_mb,315.3874,317.3556,11.4732,287.1044,338.0593
playwright,cpu-heavy,peak_memory_mb,702.8764,699.1875,14.1116,682.3242,730.7109
playwright,cpu-heavy,cpu_time_sec,3.2667,3.25,0.2147,2.8125,4.0469
cypress,cpu-heavy,duration_sec,14.143,14.1951,0.1404,13.8037,14.4884
cypress,cpu-heavy,avg_cpu_percent,145.6246,145.695,3.5541,135.1799,154.6875
cypress,cpu-heavy,avg_system_cpu_percent,37.7959,37.581,1.647,34.5938,43.2597
cypress,cpu-heavy,avg_memory_mb,982.9772,983.0262,5.6924,968.9946,1002.1404
cypress,cpu-heavy,peak_memory_mb,1341.8803,1339.0118,11.073,1319.2656,1388.4727
cypress,cpu-heavy,cpu_time_sec,19.0844,19.0703,0.4565,17.8438,20.1406
playwright,ram-heavy,duration_sec,3.4214,3.3699,0.1286,3.1465,3.838
playwright,ram-heavy,avg_cpu_percent,113.4065,113.5417,5.3265,97.886,129.3945
playwright,ram-heavy,avg_system_cpu_percent,36.3264,36.0134,4.7066,27.4733,53.1529
playwright,ram-heavy,avg_memory_mb,325.9507,327.8829,8.7447,297.2534,344.3288
playwright,ram-heavy,peak_memory_mb,728.7819,735.0879,18.8525,690.0469,750.9297
playwright,ram-heavy,cpu_time_sec,3.4511,3.4375,0.1888,2.9688,4.1406
cypress,ram-heavy,duration_sec,14.2869,14.2082,0.178,13.9495,15.0466
cypress,ram-heavy,avg_cpu_percent,146.2134,146.3063,4.2392,136.5438,164.8438
cypress,ram-heavy,avg_system_cpu_percent,38.4326,38.1085,1.6473,34.3308,42.5412
cypress,ram-heavy,avg_memory_mb,985.378,985.5796,6.187,965.8405,1000.2336
cypress,ram-heavy,peak_memory_mb,1349.6941,1346.9551,12.3758,1321.4375,1392.8164
cypress,ram-heavy,cpu_time_sec,19.4261,19.4219,0.6254,18.2969,23.0781
